ticket_number,ticket_id,ticket_category,ticket_type,table_number,seat_number,guest_name,display_name,payment_status,ticket_status,bracelet_type,checked_in,checked_in_at,checked_in_by,scan_count,notes
VIP-001,AADS-TOC-20260725-VIP-T01-S01-001,VIP,PHARMACHOICE COMP VIP,1,1,Corey O'Brien,Corey & Jennifer O'Brien + PharmaChoice Business Partners,COMP,ACTIVE,VIP,NO,,,0,Complimentary Amherst PharmaChoice sponsor VIP table
VIP-002,AADS-TOC-20260725-VIP-T01-S02-002,VIP,PHARMACHOICE COMP VIP,1,2,Jennifer O'Brien,Corey & Jennifer O'Brien + PharmaChoice Business Partners,COMP,ACTIVE,VIP,NO,,,0,Complimentary Amherst PharmaChoice sponsor VIP table
VIP-003,AADS-TOC-20260725-VIP-T01-S03-003,VIP,PHARMACHOICE COMP VIP,1,3,PharmaChoice Business Partner,Corey & Jennifer O'Brien + PharmaChoice Business Partners,COMP,ACTIVE,VIP,NO,,,0,Complimentary Amherst PharmaChoice sponsor VIP table
VIP-004,AADS-TOC-20260725-VIP-T01-S04-004,VIP,PHARMACHOICE COMP VIP,1,4,PharmaChoice Business Partner,Corey & Jennifer O'Brien + PharmaChoice Business Partners,COMP,ACTIVE,VIP,NO,,,0,Complimentary Amherst PharmaChoice sponsor VIP table
VIP-005,AADS-TOC-20260725-VIP-T01-S05-005,VIP,PHARMACHOICE COMP VIP,1,5,PharmaChoice Business Partner,Corey & Jennifer O'Brien + PharmaChoice Business Partners,COMP,ACTIVE,VIP,NO,,,0,Complimentary Amherst PharmaChoice sponsor VIP table
VIP-006,AADS-TOC-20260725-VIP-T01-S06-006,VIP,PHARMACHOICE COMP VIP,1,6,PharmaChoice Business Partner,Corey & Jennifer O'Brien + PharmaChoice Business Partners,COMP,ACTIVE,VIP,NO,,,0,Complimentary Amherst PharmaChoice sponsor VIP table
VIP-007,AADS-TOC-20260725-VIP-T02-S01-007,VIP,CGC COMP VIP,2,1,Cecil Dow,Cecil & Connie Dow - CGC Darts VIP Table,COMP,ACTIVE,VIP,NO,,,0,Complimentary CGC Darts VIP table
VIP-008,AADS-TOC-20260725-VIP-T02-S02-008,VIP,CGC COMP VIP,2,2,Connie Dow,Cecil & Connie Dow - CGC Darts VIP Table,COMP,ACTIVE,VIP,NO,,,0,Complimentary CGC Darts VIP table
VIP-009,AADS-TOC-20260725-VIP-T02-S03-009,VIP,CGC COMP VIP,2,3,Tanya Holland,Cecil & Connie Dow - CGC Darts VIP Table,COMP,ACTIVE,VIP,NO,,,0,Complimentary CGC Darts VIP table
VIP-010,AADS-TOC-20260725-VIP-T02-S04-010,VIP,CGC COMP VIP,2,4,Dawn Leblanc,Cecil & Connie Dow - CGC Darts VIP Table,COMP,ACTIVE,VIP,NO,,,0,Complimentary CGC Darts VIP table
VIP-011,AADS-TOC-20260725-VIP-T02-S05-011,VIP,CGC COMP VIP,2,5,CGC Comp Guest,Cecil & Connie Dow - CGC Darts VIP Table,COMP,ACTIVE,VIP,NO,,,0,Complimentary CGC Darts VIP table
VIP-012,AADS-TOC-20260725-VIP-T02-S06-012,VIP,CGC COMP VIP,2,6,CGC Comp Guest,Cecil & Connie Dow - CGC Darts VIP Table,COMP,ACTIVE,VIP,NO,,,0,Complimentary CGC Darts VIP table
VIP-013,AADS-TOC-20260725-VIP-T03-S01-013,VIP,PAID VIP,3,1,VIP Table 3 Guest 1,VIP Table 3 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 3: $110 table package, 6 seats"
VIP-014,AADS-TOC-20260725-VIP-T03-S02-014,VIP,PAID VIP,3,2,VIP Table 3 Guest 2,VIP Table 3 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 3: $110 table package, 6 seats"
VIP-015,AADS-TOC-20260725-VIP-T03-S03-015,VIP,PAID VIP,3,3,VIP Table 3 Guest 3,VIP Table 3 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 3: $110 table package, 6 seats"
